u,i,t,pct_rank
0,0,1680191070.0,0.04
0,1,1680783234.0,0.08
0,2,1680801308.0,0.12
0,3,1683714945.0,0.16
0,3,1683714950.0,0.2
0,4,1686568835.0,0.24
0,5,1687013944.0,0.28
0,6,1687013964.0,0.32
0,7,1687013971.0,0.36
0,8,1687260106.0,0.4
0,9,1687343458.0,0.44
0,10,1693407969.0,0.48
0,11,1693906548.0,0.52
0,13,1693906550.0,0.56
0,12,1693906550.0,0.56
0,14,1693906551.0,0.6
0,15,1693906552.0,0.64
0,16,1696933347.0,0.68
0,17,1696933350.0,0.72
0,18,1696933352.0,0.76
1,29,1676564469.0,0.0625
1,30,1677844086.0,0.125
1,31,1681398522.0,0.1875
1,32,1682005595.0,0.25
1,33,1683213789.0,0.3125
1,34,1685028671.0,0.375
1,35,1685033049.0,0.4375
1,36,1691588071.0,0.5
1,36,1691588075.0,0.5625
1,36,1691588079.0,0.625
1,37,1698846800.0,0.6875
1,37,1698846804.0,0.75
2,44,1672853914.0,0.010526315789473684
2,45,1673549592.0,0.021052631578947368
2,46,1673549806.0,0.031578947368421054
2,47,1673697754.0,0.042105263157894736
2,48,1674661536.0,0.05263157894736842
2,49,1674661542.0,0.06315789473684211
2,50,1674661547.0,0.07368421052631578
2,51,1675965207.0,0.08421052631578947
2,52,1676900922.0,0.09473684210526316
2,53,1676900938.0,0.10526315789473684
2,53,1676900943.0,0.11578947368421053
2,53,1676901022.0,0.12631578947368421
2,54,1678385009.0,0.1368421052631579
2,55,1680176703.0,0.14736842105263157
2,56,1680176715.0,0.15789473684210525
2,57,1681319782.0,0.16842105263157894
2,58,1681925788.0,0.17894736842105263
2,58,1681925792.0,0.18947368421052632
2,58,1681925796.0,0.2
2,59,1681925807.0,0.21052631578947367
2,60,1681979308.0,0.22105263157894736
2,58,1682531189.0,0.23157894736842105
2,58,1682531193.0,0.24210526315789474
2,58,1682531198.0,0.25263157894736843
2,58,1682618550.0,0.2631578947368421
2,61,1683054023.0,0.2736842105263158
2,62,1683104093.0,0.28421052631578947
2,63,1683833746.0,0.29473684210526313
2,64,1684261107.0,0.30526315789473685
2,65,1685727814.0,0.3157894736842105
2,66,1686073968.0,0.3263157894736842
2,67,1686212950.0,0.3368421052631579
2,68,1686682610.0,0.3473684210526316
2,69,1686761987.0,0.35789473684210527
2,70,1688041987.0,0.3684210526315789
2,71,1688042007.0,0.37894736842105264
2,72,1688229823.0,0.3894736842105263
2,73,1688229832.0,0.4
2,74,1691072631.0,0.4105263157894737
2,75,1691072650.0,0.42105263157894735
2,76,1691072655.0,0.43157894736842106
2,53,1691072667.0,0.4421052631578947
2,53,1691072672.0,0.45263157894736844
2,53,1691072676.0,0.4631578947368421
2,77,1693051383.0,0.47368421052631576
2,78,1693936277.0,0.4842105263157895
2,78,1693936283.0,0.49473684210526314
2,53,1694253719.0,0.5052631578947369
2,53,1694253737.0,0.5157894736842106
2,53,1694253756.0,0.5263157894736842
2,53,1694253765.0,0.5368421052631579
2,53,1694861307.0,0.5473684210526316
2,53,1694861313.0,0.5578947368421052
2,53,1694861321.0,0.5684210526315789
2,53,1695226076.0,0.5789473684210527
2,53,1695226080.0,0.5894736842105263
2,53,1695226084.0,0.6
2,76,1697288121.0,0.6105263157894737
2,76,1697288125.0,0.6210526315789474
2,79,1698231722.0,0.631578947368421
2,80,1699700215.0,0.6421052631578947
2,80,1699700219.0,0.6526315789473685
2,81,1699700237.0,0.6631578947368421
2,81,1699700240.0,0.6736842105263158
2,82,1700916360.0,0.6842105263157895
2,81,1700916372.0,0.6947368421052632
2,81,1700916375.0,0.7052631578947368
2,81,1700916377.0,0.7157894736842105
2,81,1700916380.0,0.7263157894736842
2,83,1700917494.0,0.7368421052631579
2,84,1700917517.0,0.7473684210526316
2,81,1700917528.0,0.7578947368421053
2,81,1700917541.0,0.7684210526315789
2,85,1702043233.0,0.7789473684210526
2,86,1702043259.0,0.7894736842105263
3,116,1672760617.0,0.013888888888888888
3,117,1673270468.0,0.027777777777777776
3,117,1673270474.0,0.041666666666666664
3,118,1673270480.0,0.05555555555555555
3,119,1674480302.0,0.06944444444444445
3,120,1674480307.0,0.08333333333333333
3,121,1674480311.0,0.09722222222222222
3,118,1674836260.0,0.1111111111111111
3,122,1675420124.0,0.125
3,123,1675420127.0,0.1388888888888889
3,124,1676048364.0,0.1527777777777778
3,40,1677503204.0,0.16666666666666666
3,125,1677503295.0,0.18055555555555555
3,126,1678466496.0,0.19444444444444445
3,127,1679050652.0,0.20833333333333334
3,128,1679317671.0,0.2222222222222222
3,129,1679649717.0,0.2361111111111111
3,130,1679649752.0,0.25
3,131,1680187369.0,0.2638888888888889
3,132,1680775907.0,0.2777777777777778
3,133,1680775910.0,0.2916666666666667
3,132,1681736959.0,0.3055555555555556
3,134,1681819807.0,0.3194444444444444
3,135,1681922887.0,0.3333333333333333
3,136,1681922939.0,0.3472222222222222
3,132,1681922943.0,0.3611111111111111
3,132,1681922946.0,0.375
3,132,1681922949.0,0.3888888888888889
3,137,1682341702.0,0.4027777777777778
3,132,1684775205.0,0.4166666666666667
3,132,1684775209.0,0.4305555555555556
3,132,1684775212.0,0.4444444444444444
3,132,1684775216.0,0.4583333333333333
3,132,1685643171.0,0.4722222222222222
3,138,1686045225.0,0.4861111111111111
3,139,1687180470.0,0.5
3,140,1687184147.0,0.5138888888888888
3,141,1687443945.0,0.5277777777777778
3,142,1688996915.0,0.5416666666666666
3,143,1689338613.0,0.5555555555555556
3,144,1689339299.0,0.5694444444444444
3,145,1692872625.0,0.5833333333333334
3,146,1694105754.0,0.5972222222222222
3,147,1695496473.0,0.6111111111111112
3,146,1695895370.0,0.625
3,148,1696255398.0,0.6388888888888888
3,149,1696255454.0,0.6527777777777778
3,150,1699980200.0,0.6666666666666666
3,151,1700158510.0,0.6805555555555556
3,152,1700158513.0,0.6944444444444444
3,153,1700158522.0,0.7083333333333334
3,154,1700160616.0,0.7222222222222222
3,155,1700491377.0,0.7361111111111112
3,156,1700491381.0,0.75
3,157,1701191334.0,0.7638888888888888
3,158,1701191366.0,0.7777777777777778
3,159,1701365064.0,0.7916666666666666
4,191,1678981861.0,0.05555555555555555
4,192,1679593674.0,0.1111111111111111
4,193,1686065752.0,0.16666666666666666
4,194,1686849818.0,0.2222222222222222
4,195,1690560956.0,0.2777777777777778
4,196,1697039757.0,0.3333333333333333
4,197,1697039761.0,0.3888888888888889
4,198,1697039807.0,0.4444444444444444
4,199,1699974154.0,0.5
4,200,1701875218.0,0.5555555555555556
4,201,1704812544.0,0.6111111111111112
4,202,1711379061.0,0.6666666666666666
4,203,1711379065.0,0.7222222222222222
4,204,1712678232.0,0.7777777777777778
5,212,1676293348.0,0.07692307692307693
5,213,1678105126.0,0.15384615384615385
5,214,1689869006.0,0.23076923076923078
5,215,1689869009.0,0.3076923076923077
5,216,1692016396.0,0.38461538461538464
5,217,1696932023.0,0.46153846153846156
5,218,1700138762.0,0.5384615384615384
5,219,1701351719.0,0.6153846153846154
5,220,1704717889.0,0.6923076923076923
5,221,1706622976.0,0.7692307692307693
6,229,1675959453.0,0.125
6,230,1675959456.0,0.25
6,231,1676366197.0,0.375
6,229,1680196130.0,0.5
6,229,1684257673.0,0.625
6,230,1687363286.0,0.75
7,236,1675704663.0,0.06666666666666667
7,237,1684169064.0,0.13333333333333333
7,238,1690472172.0,0.2
7,239,1690992335.0,0.26666666666666666
7,240,1691159798.0,0.3333333333333333
7,241,1693241142.0,0.4
7,242,1695400061.0,0.4666666666666667
7,243,1695722914.0,0.5333333333333333
7,244,1695722917.0,0.6
7,245,1699874611.0,0.6666666666666666
7,246,1700832198.0,0.7333333333333333
8,256,1678898958.0,0.3333333333333333
8,257,1684509990.0,0.6666666666666666
9,261,1675182520.0,0.047619047619047616
9,261,1675182524.0,0.09523809523809523
9,262,1676039721.0,0.14285714285714285
9,262,1676039725.0,0.19047619047619047
9,261,1688645676.0,0.23809523809523808
9,261,1688645685.0,0.2857142857142857
9,262,1688645697.0,0.3333333333333333
9,262,1688645700.0,0.38095238095238093
9,263,1691676854.0,0.42857142857142855
9,264,1697032227.0,0.47619047619047616
9,264,1697032231.0,0.5238095238095238
9,264,1707843916.0,0.5714285714285714
9,264,1707843919.0,0.6190476190476191
9,262,1707843925.0,0.6666666666666666
9,262,1707843929.0,0.7142857142857143
9,261,1707843961.0,0.7619047619047619
10,268,1676388229.0,0.14285714285714285
10,269,1680606115.0,0.2857142857142857
10,270,1693830114.0,0.42857142857142855
10,271,1696256157.0,0.5714285714285714
10,272,1697651227.0,0.7142857142857143
11,277,1677923344.0,0.2
11,278,1689247527.0,0.4
11,279,1689247537.0,0.6
12,282,1673026145.0,0.058823529411764705
12,282,1675269949.0,0.11764705882352941
12,283,1677850180.0,0.17647058823529413
12,284,1683542990.0,0.23529411764705882
12,285,1690800306.0,0.29411764705882354
12,286,1691161589.0,0.35294117647058826
12,287,1694181560.0,0.4117647058823529
12,288,1698656495.0,0.47058823529411764
12,285,1707155706.0,0.5294117647058824
12,289,1707384195.0,0.5882352941176471
12,290,1708092071.0,0.6470588235294118
12,291,1709574555.0,0.7058823529411765
12,292,1715619975.0,0.7647058823529411
13,300,1673457369.0,0.011627906976744186
13,301,1673457372.0,0.023255813953488372
13,302,1673457377.0,0.03488372093023256
13,303,1673457534.0,0.046511627906976744
13,304,1673457538.0,0.05813953488372093
13,305,1676896164.0,0.06976744186046512
13,306,1677765734.0,0.08139534883720931
13,307,1677765754.0,0.09302325581395349
13,308,1677765821.0,0.10465116279069768
13,301,1677765827.0,0.11627906976744186
13,309,1678897059.0,0.12790697674418605
13,310,1678897063.0,0.13953488372093023
13,311,1681406834.0,0.1511627906976744
13,312,1683221272.0,0.16279069767441862
13,300,1683221277.0,0.1744186046511628
13,303,1683221281.0,0.18604651162790697
13,302,1683221285.0,0.19767441860465115
13,313,1684758025.0,0.20930232558139536
13,314,1685725567.0,0.22093023255813954
13,315,1685725574.0,0.23255813953488372
13,315,1685725577.0,0.2441860465116279
13,315,1685725581.0,0.2558139534883721
13,316,1685725587.0,0.26744186046511625
13,317,1685725647.0,0.27906976744186046
13,318,1686935876.0,0.29069767441860467
13,319,1686935880.0,0.3023255813953488
13,308,1687452857.0,0.313953488372093
13,306,1687452861.0,0.32558139534883723
13,301,1687452879.0,0.3372093023255814
13,307,1687452884.0,0.3488372093023256
13,320,1688738383.0,0.36046511627906974
13,310,1688738392.0,0.37209302325581395
13,309,1688738396.0,0.38372093023255816
13,311,1692894460.0,0.3953488372093023
13,303,1692894462.0,0.4069767441860465
13,302,1692894467.0,0.4186046511627907
13,300,1692894471.0,0.43023255813953487
13,321,1692894568.0,0.4418604651162791
13,322,1694431483.0,0.45348837209302323
13,313,1694431556.0,0.46511627906976744
13,316,1696009201.0,0.47674418604651164
13,323,1696009904.0,0.4883720930232558
13,319,1696525388.0,0.5
13,315,1696525391.0,0.5116279069767442
13,318,1696525394.0,0.5232558139534884
13,301,1697475965.0,0.5348837209302325
13,307,1697475973.0,0.5465116279069767
13,324,1697475978.0,0.5581395348837209
13,325,1697475988.0,0.5697674418604651
13,326,1697475993.0,0.5813953488372093
13,327,1697475998.0,0.5930232558139535
13,320,1698424837.0,0.6046511627906976
13,310,1698424840.0,0.6162790697674418
13,309,1698424842.0,0.627906976744186
13,300,1702918808.0,0.6395348837209303
13,302,1702918812.0,0.6511627906976745
13,320,1702918814.0,0.6627906976744186
13,303,1702918825.0,0.6744186046511628
13,311,1702918828.0,0.686046511627907
13,321,1703940528.0,0.6976744186046512
13,313,1703940532.0,0.7093023255813954
13,328,1703940866.0,0.7209302325581395
13,329,1703940868.0,0.7325581395348837
13,330,1703940871.0,0.7441860465116279
13,319,1706288568.0,0.7558139534883721
13,331,1706288693.0,0.7674418604651163
13,332,1706288763.0,0.7790697674418605
13,333,1706288845.0,0.7906976744186046
14,339,1678190969.0,0.06666666666666667
14,340,1680004734.0,0.13333333333333333
14,341,1680004744.0,0.2
14,342,1680976680.0,0.26666666666666666
14,343,1680976721.0,0.3333333333333333
14,344,1680976728.0,0.4
14,345,1681222043.0,0.4666666666666667
14,346,1681222051.0,0.5333333333333333
14,317,1682428841.0,0.6
14,347,1682428889.0,0.6666666666666666
14,348,1682428893.0,0.7333333333333333
15,354,1684762856.0,0.3333333333333333
15,355,1708694812.0,0.6666666666666666
16,359,1676288975.0,0.3333333333333333
16,360,1676288986.0,0.6666666666666666
17,363,1725893861.0,0.3333333333333333
17,364,1725893865.0,0.6666666666666666
18,367,1674219471.0,0.125
18,367,1674219476.0,0.25
18,367,1688204603.0,0.375
18,367,1688204606.0,0.5
18,368,1690472299.0,0.625
18,368,1705748788.0,0.75
19,370,1674577242.0,0.03225806451612903
19,371,1675260560.0,0.06451612903225806
19,372,1678283761.0,0.0967741935483871
19,373,1681229937.0,0.12903225806451613
19,374,1681229992.0,0.16129032258064516
19,375,1682521472.0,0.1935483870967742
19,376,1683641967.0,0.22580645161290322
19,373,1685642042.0,0.25806451612903225
19,377,1686306922.0,0.2903225806451613
19,375,1690381522.0,0.3225806451612903
19,377,1692786911.0,0.3548387096774194
19,376,1693323307.0,0.3870967741935484
19,373,1695207460.0,0.41935483870967744
19,377,1695207466.0,0.45161290322580644
19,371,1695913232.0,0.4838709677419355
19,378,1701440224.0,0.5161290322580645
19,379,1701440241.0,0.5483870967741935
19,380,1701440253.0,0.5806451612903226
19,381,1707925196.0,0.6129032258064516
19,380,1709228911.0,0.6451612903225806
19,377,1709727448.0,0.6774193548387096
